id,paper_id,question_no,question_part,question,diagram,diagram_url,diagram_desc,topic,marks_total,created_at,updated_at
2005,p_425603950984d2039,1,a,"Circle the answer to $150 \div 5$ {list:1}",0,NULL,NULL,201,1,"2025-04-01 19:20:04","2025-04-01 19:20:04"
2006,p_425603950984d2039,1,b,"Circle the answer to $5-7$ {list:2}",0,NULL,NULL,191,1,"2025-04-01 19:20:04","2025-04-01 19:20:04"
2007,p_425603950984d2039,1,c,"Circle the answer to $-3 \times 3$ {list:3}",0,NULL,NULL,236,1,"2025-04-01 19:20:04","2025-04-01 19:20:04"
2008,p_425603950984d2039,2,NULL,"$P$ is double $r$.
Circle the correct formula. {list:4}",0,NULL,NULL,215,1,"2025-04-01 19:20:04","2025-04-01 19:20:04"
2009,p_425603950984d2039,3,NULL,"By rounding each number to the nearest 10, estimate the value of $31 \times 18$ {formula:1}",0,NULL,NULL,222,3,"2025-04-01 19:20:04","2025-04-01 19:20:04"
2010,p_425603950984d2039,4,NULL,"In this isosceles triangle,
$AB = AC$ {diagram:1}
The perimeter of the triangle is $22$ cm
Work out the length of $AB$.",1,NULL,"An isosceles triangle labeled A, B, and C. Side BC is 4cm, sides AB and AC are equal but not labeled.",237,3,"2025-04-01 19:20:04","2025-04-01 19:20:04"
2011,p_425603950984d2039,5,NULL,"After school, Priya will
• go running ($R$)
• do her homework ($H$)
• play a video game ($V$).
Complete the list of the $6$ possible orders in which she could do them. {list:5}",0,NULL,NULL,238,2,"2025-04-01 19:20:04","2025-04-01 19:20:04"
2012,p_425603950984d2039,6,a,"Which statement is correct?
Tick $\text{one}$ box. {list:6}
Show working to support your answer.",0,NULL,NULL,239,2,"2025-04-01 19:20:04","2025-04-01 19:20:04"
2013,p_425603950984d2039,6,b,"Work out $60 \div 2 + 4$ {formula:2}",0,NULL,NULL,227,2,"2025-04-01 19:20:04","2025-04-01 19:20:04"
2014,p_425603950984d2039,7,NULL,"{table:1}
Leah buys $400$ grams of cereal and $250$ grams of pasta.
Work out the $\text{total}$ cost in £ {formula:3}",0,NULL,NULL,196,4,"2025-04-01 19:20:04","2025-04-01 19:20:04"
2015,p_425603950984d2039,8,a,"For a set of five numbers,
the mode is $8$ {formula:4}
the median is $12$ {formula:5}
Work out $\text{one}$ possible set of five numbers. {list:7}",0,NULL,NULL,240,2,"2025-04-01 19:20:04","2025-04-01 19:20:04"
2016,p_425603950984d2039,8,b,"Here are the heights, in centimetres, of some children.
$98$ {formula:6} $103$ {formula:7} $91$ {formula:8} $85$ {formula:9} $159$ {formula:10} $102$ {formula:11} $91$ {formula:12}
Which height is an outlier?",0,NULL,NULL,240,1,"2025-04-01 19:20:04","2025-04-01 19:20:04"
2017,p_425603950984d2039,9,NULL,"Shona has $14$ dresses.
$50\%$ {formula:13} of these dresses are red.
She gives $5$ of her red dresses to a charity shop.
She buys $1$ new red dress.
What percentage of the dresses she has now are red?",0,NULL,NULL,204,4,"2025-04-01 19:20:05","2025-04-01 19:20:05"
2018,p_425603950984d2039,10,a,"Here is a triangle. {diagram:2}
Work out $\frac{\text{length of shortest side}}{\text{length of longest side}}$ {formula:14}
Give your answer as a fraction in its simplest form.",1,NULL,"A triangle with sides labeled 40cm, 1.2m and 1m. The triangle is not drawn accurately.",208,2,"2025-04-01 19:20:05","2025-04-01 19:20:05"
2019,p_425603950984d2039,10,b,"Here is a different triangle. {diagram:3}
$x = 3y$ {formula:15}
Work out the size of angle $y$.",1,NULL,"A triangle with internal angles x, y, and 112 degrees. The triangle is not drawn accurately.",241,3,"2025-04-01 19:20:05","2025-04-01 19:20:05"
2020,p_425603950984d2039,11,NULL,"Companies $A$ and $B$ sell insurance for mobile phones.
The table shows the $\text{monthly}$ costs for two types of cover, Damage and Loss. {table:2}",0,NULL,NULL,196,1,"2025-04-01 19:20:05","2025-04-01 19:20:05"
2021,p_425603950984d2039,11,a,"Work out the difference in monthly cost for the two types of cover with Company $A$.",0,NULL,NULL,193,2,"2025-04-01 19:20:05","2025-04-01 19:20:05"
2022,p_425603950984d2039,11,b,"Ben wants Damage cover with Company $B$.
How much in total will he pay for one year?",0,NULL,NULL,202,3,"2025-04-01 19:20:05","2025-04-01 19:20:05"
2023,p_425603950984d2039,12,NULL,"Work out $\frac{11}{18} - \frac{1}{3}$ {formula:16}",0,NULL,NULL,220,2,"2025-04-01 19:20:05","2025-04-01 19:20:05"
2024,p_425603950984d2039,13,a,"The term-to-term rule for a sequence is
multiply by $2$ {formula:17}
The $3$rd term of the sequence is $46$ {formula:18}
Work out the $1$st term.
Give your answer as a decimal.",0,NULL,NULL,242,3,"2025-04-01 19:20:05","2025-04-01 19:20:05"
2025,p_425603950984d2039,13,b,"The term-to-term rule for a different sequence is
subtract $k$ {formula:19}
The $1$st term is $34$ {formula:20}
The $4$th term is $10$ {formula:21}
Work out the value of $k$.",0,NULL,NULL,242,3,"2025-04-01 19:20:05","2025-04-01 19:20:05"
2026,p_425603950984d2039,14,NULL,"{diagram:4}
Work out the vector that translates shape $A$ to shape $B$.",1,NULL,"A graph with shape A drawn from coordinate (2,4) to (5,4) and ending at (5,5). Shape B is drawn from coordinate (9,2) to (12,2) and ending at (12,3).",243,2,"2025-04-01 19:20:05","2025-04-01 19:20:05"
2027,p_425603950984d2039,15,NULL,"In a bag there are only red discs, blue discs and green discs.
There are $10$ red discs.
When one disc is picked at random
$P(red) = \frac{1}{8}$ {formula:22}
$P(blue) = \frac{2}{5}$ {formula:23}
How many green discs are in the bag?",0,NULL,NULL,198,4,"2025-04-01 19:20:05","2025-04-01 19:20:05"
2028,p_425603950984d2039,16,NULL,"Here is the graph of $y = 7 - 3x$ {diagram:5}
Draw the graph of $y = 2x + 1$ {formula:24} on the grid
and then
work out an approximate solution to $7- 3x = 2x + 1$ {formula:25}",1,NULL,"A graph drawn from y = 8 to x = 3, showing the equation y = 7 - 3x.",217,3,"2025-04-01 19:20:05","2025-04-01 19:20:05"
2029,p_425603950984d2039,17,NULL,"Part of this circle is shaded. {diagram:6}
Circle the name of the shaded part. {list:8}",1,NULL,"A part of a circle is shaded.",244,1,"2025-04-01 19:20:05","2025-04-01 19:20:05"
2030,p_425603950984d2039,18,NULL,"Work out $80000000 \div 200$ {formula:26}
Give your answer in standard form.",0,NULL,NULL,211,2,"2025-04-01 19:20:05","2025-04-01 19:20:05"
2031,p_425603950984d2039,19,a,"Work out $\frac{3^{12}}{3^7}$ {formula:27}
Give your answer as a whole number.",0,NULL,NULL,214,2,"2025-04-01 19:20:05","2025-04-01 19:20:05"
2032,p_425603950984d2039,19,b,"Simplify $8 \times 2^6 \times 2^4$ {formula:28}
Give your answer as a power of 2",0,NULL,NULL,214,2,"2025-04-01 19:20:05","2025-04-01 19:20:05"
